epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.0006350172916427255;8.370127034140751e-05;4.542967144516297e-05;1.0422987543279305e-05
1;9.53844664763892e-06;5.0638218453968875e-06;2.9734076179011026e-07;1.6003056657609704e-07
2;1.2227720844748546e-06;1.1377409236956737e-06;1.2041992647482402e-07;5.041001216454788e-08
3;7.54006862280221e-07;6.85725069615728e-07;1.350763767504759e-07;7.215377451075256e-08
4;5.276227170725178e-07;4.6049530055825016e-07;9.654898036615123e-08;2.923401609677967e-08
5;4.1585937538002327e-07;3.490417839202564e-07;1.1906002583828013e-07;5.887871168397396e-08
6;3.4645054824977706e-07;2.8590551437446265e-07;7.669074619798266e-08;1.859123166525478e-08
7;3.331912807880144e-07;2.7665257107400976e-07;9.0671854025004e-08;3.34689289616108e-08
8;3.2124884796758124e-07;2.6702988975557673e-07;7.603532026223547e-08;2.378433450189732e-08
9;3.145425466755114e-07;2.6224176963296486e-07;1.1043724867931815e-07;6.389625184510805e-08
10;3.03183981031907e-07;2.5293766725553724e-07;7.519125944099869e-08;2.7203366670391915e-08
11;2.8914973881910555e-07;2.3984063091120333e-07;7.008433300370598e-08;2.1802561533945664e-08
12;2.8646655891861883e-07;2.377083205828967e-07;6.667055174602865e-08;1.8599493500914832e-08
13;2.848916835773707e-07;2.370288143538346e-07;6.482397196805323e-08;1.711145003469028e-08
14;2.823716442890145e-07;2.3525656445144705e-07;6.484040682153136e-08;1.8326531403545232e-08
15;2.808072565585462e-07;2.3477493016343942e-07;6.787946205122353e-08;2.1464881427846194e-08
16;2.7585556949816237e-07;2.2965048174228286e-07;6.400516383564536e-08;1.7783053252173886e-08
17;2.7756456688621256e-07;2.3143810778947227e-07;6.358604309752991e-08;1.7944499219879617e-08
18;2.763243855952169e-07;2.3044835018026788e-07;6.359917392728676e-08;1.7498310356245383e-08
19;2.75880836397846e-07;2.2991663684024388e-07;6.406237673672877e-08;1.8582959171453695e-08
0;0.00118368084076792;0.0004167086153756827;7.1037584348232485e-06;9.934205991157796e-07
1;7.775454832881223e-06;2.503953510313295e-06;6.934531597835303e-07;5.195307721805875e-07
2;1.2522813221949036e-06;1.1198874290130334e-06;2.41857674154744e-06;2.3140901248552836e-06
3;7.862886945986247e-07;6.810611239416176e-07;1.516728957540181e-06;1.417737280462461e-06
4;5.592147545030457e-07;4.629537784239801e-07;1.1487917390695657e-06;1.0606765954435105e-06
5;4.5108734525456384e-07;3.5904298556488357e-07;1.563324872222438e-06;1.4734055184817407e-06
6;3.5183921909265337e-07;2.7495653398545983e-07;1.8708649349719053e-06;1.7983595625992166e-06
7;3.39654491199326e-07;2.664580165401276e-07;1.981636842174339e-06;1.910997980303364e-06
8;3.3119363251898903e-07;2.600347386305657e-07;1.6644307834212668e-06;1.5945369113978813e-06
9;3.233476491004694e-07;2.540067782774713e-07;1.8718105820880737e-06;1.8029940065389383e-06
10;3.139699060739076e-07;2.460881489696476e-07;1.7974133470488596e-06;1.7305839037362603e-06
11;2.9006352519900247e-07;2.2394254983737483e-07;1.9788756162597565e-06;1.9126900951960124e-06
0;0.00033560648444108665;3.077592918998562e-05;1.342279460914142e-06;2.1501287505998334e-07
1;9.17910313091852e-07;6.578314923899597e-07;7.170791604949045e-08;1.693876860997534e-08
2;3.776975177061104e-07;3.2585816711616644e-07;1.441859183159977e-07;9.310917903349036e-08
3;3.5186988611712877e-07;3.0382153681784985e-07;6.089972970357849e-08;1.1838401370312113e-08
4;3.284010574589047e-07;2.784474304462492e-07;9.402633338595479e-08;4.7860332585969445e-08
5;3.1523200050287414e-07;2.6648211814972456e-07;1.4710724371980177e-07;1.0013911833084421e-07
6;2.616119445519871e-07;2.1640461511651665e-07;8.7517975089213e-08;4.4052274716932516e-08
7;2.549312796418235e-07;2.1110196257723146e-07;1.3304973833783151e-07;9.086609509267873e-08
8;2.497625075648102e-07;2.0718921689422132e-07;1.34632529125156e-07;9.298789649392347e-08
9;2.446911082643055e-07;2.030110124451312e-07;9.828725211491474e-08;5.739671138371705e-08
10;2.4139626475516707e-07;2.0063478700649284e-07;1.1811653877202843e-07;7.84576528189973e-08
11;2.2736095672826195e-07;1.8729210182755196e-07;1.4349262755786185e-07;1.038998576063932e-07
12;2.270426904260603e-07;1.8731782347458648e-07;1.4910276036061987e-07;1.0966569874426568e-07
13;2.2588713477489364e-07;1.8645272348294384e-07;1.514186749318469e-07;1.1309720804320023e-07
0;0.00033475045347586274;3.2002066291170195e-05;2.7283695089863613e-06;1.6155765933945077e-06
1;9.628492989577353e-07;6.866939656902105e-07;6.227242721479342e-08;8.576996002318538e-09
2;3.734886035999807e-07;3.171452078731818e-07;8.808101625845666e-08;3.51466198367234e-08
3;3.388006177829084e-07;2.851694773653435e-07;8.597906742124906e-08;3.46483233215622e-08
4;3.1999746852307e-07;2.6809090059032314e-07;1.9385768723623187e-07;1.42994139196162e-07
5;3.0950232599025185e-07;2.581784031008283e-07;1.3315387548118451e-07;8.287138086870982e-08
6;2.5256198910028616e-07;2.0668778688559541e-07;1.6097213517696218e-07;1.1709984448771138e-07
7;2.463990824708162e-07;2.018787910174069e-07;1.2876172661435703e-07;8.451346644733349e-08
8;2.417771440832439e-07;1.9854307709010754e-07;1.6032434757562442e-07;1.1836585400715194e-07
9;2.3948422267494607e-07;1.9710800813754759e-07;1.1311923486800879e-07;7.097690968294046e-08
10;2.3505677404500602e-07;1.93451910490694e-07;1.1916431930103499e-07;7.902649912239212e-08
11;2.213896692637718e-07;1.8049142624931847e-07;1.6567004479384195e-07;1.2658226467010536e-07
