epoch,dense_18_mae,learning_rate,loss,val_dense_18_mae,val_loss
0,0.16635000705718994,9.999999747378752e-06,1.0072245597839355,0.014153801836073399,0.8554033637046814
1,0.08593473583459854,3.999999989900971e-06,0.8225736021995544,0.0105691347271204,0.7607712149620056
2,0.07293972373008728,2.4000000848900527e-06,0.734666645526886,0.03087383322417736,0.6932657957077026
3,0.05226612836122513,1.9200001588615123e-06,0.6685017347335815,0.04970238730311394,0.6415253281593323
4,0.04328735172748566,1.9200001588615123e-06,0.6143493056297302,0.06149236112833023,0.5898733735084534
5,0.036979321390390396,1.9200001588615123e-06,0.5628935098648071,0.055080149322748184,0.5393983125686646
6,0.03188209608197212,1.919995384014328e-06,0.5142363905906677,0.02867829240858555,0.49095281958580017
7,0.02736736834049225,1.9199762846255908e-06,0.46860238909721375,0.027905311435461044,0.4470212757587433
8,0.023751279339194298,1.919933311000932e-06,0.42614197731018066,0.025168724358081818,0.4059854745864868
9,0.020679187029600143,1.9198566860723076e-06,0.38683339953422546,0.024031877517700195,0.36824920773506165
10,0.01782486028969288,1.9197370875190245e-06,0.3506387770175934,0.02299131266772747,0.33363771438598633
11,0.015182963572442532,1.9195647382730385e-06,0.31745368242263794,0.02107810042798519,0.30199092626571655
12,0.012835432775318623,1.9193303160136566e-06,0.28717753291130066,0.02060885541141033,0.27322685718536377
13,0.01075488980859518,1.91902427104651e-06,0.25963252782821655,0.013748782686889172,0.24682185053825378
14,0.008782654069364071,1.9186368263035547e-06,0.2346443086862564,0.0063254632987082005,0.22290532290935516
15,0.007103109732270241,1.9181586594640976e-06,0.21206292510032654,0.004592800047248602,0.2014753371477127
16,0.005777699872851372,1.91758022083377e-06,0.19169631600379944,0.005924080964177847,0.1822068691253662
17,0.004750682041049004,1.9168921880918788e-06,0.17336945235729218,0.009318835102021694,0.16489781439304352
18,0.004017106723040342,1.9160850115440553e-06,0.15691401064395905,0.012824536301195621,0.1494000256061554
19,0.003484060289338231,1.915149141495931e-06,0.14216069877147675,0.015050780959427357,0.13552191853523254
